Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,FBI Code
JK279767,06/02/2026 05:00:00 PM,016XX N MAYFIELD AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,025,06
JK279395,06/02/2026 05:00:00 PM,082XX S DREXEL AVE,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,STREET,False,False,006,04B
JK279241,06/02/2026 05:00:00 PM,023XX N LAWNDALE AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,True,False,025,26
JK280171,06/02/2026 05:00:00 PM,041XX W GLADYS AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,011,06
JK279765,06/02/2026 05:00:00 PM,016XX N MAYFIELD AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,025,06
JK279947,06/02/2026 05:00:00 PM,012XX W WINNEMAC AVE,0810,THEFT,OVER $500,APARTMENT,False,False,020,06
JK282170,06/02/2026 05:00:00 PM,016XX S THROOP ST,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,012,06
JK279265,06/02/2026 05:00:00 PM,108XX S MICHIGAN AVE,0460,BATTERY,SIMPLE,STREET,False,False,005,08B
JK279148,06/02/2026 04:57:00 PM,051XX S DR MARTIN LUTHER KING JR DR,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,True,False,002,14
JK279118,06/02/2026 04:54:00 PM,0000X E 48TH ST,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,002,18
JK279179,06/02/2026 04:54:00 PM,047XX S COTTAGE GROVE AVE,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,True,False,002,24
JK279237,06/02/2026 04:53:00 PM,030XX N BROADWAY,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,019,06
JK279128,06/02/2026 04:52:00 PM,0000X W RANDOLPH ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,True,False,001,24
JK279300,06/02/2026 04:50:00 PM,035XX S LAKE PARK AVE,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,APARTMENT,False,False,002,04B
JK279143,06/02/2026 04:50:00 PM,055XX W HADDON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,015,08B
